,Unnamed: 0,Unnamed: 0.1,country,target,model,params,f1,accuracy,precision,recall,roc_auc
37,37.0,1.0,Cambodia,if_vio,BalancedRandomForest,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 5}",0.4667392830588586,0.6182954785388954,0.3643733450656862,0.651130710085934,0.6829440178135184
38,38.0,2.0,Cambodia,if_vio,BalancedRandomForest,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 2}",0.4746305357942146,0.6283986366241365,0.3724028042767374,0.6557440072365446,0.6878125960758243
39,39.0,3.0,Cambodia,if_vio,BalancedRandomForest,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 5}",0.4769767717747342,0.6338129279401563,0.3775347991799384,0.6512663952962461,0.6846304247937687
40,40.0,4.0,Cambodia,if_vio,BalancedRandomForest,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 2}",0.4682257958082174,0.6322625403432569,0.3723437914237763,0.6313885119855269,0.6804644395377941
41,41.0,5.0,Cambodia,if_vio,BalancedRandomForest,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 5}",0.4672766362471569,0.6256733930564353,0.3686502327436508,0.6390094979647218,0.679275588161643
42,42.0,6.0,Cambodia,if_vio,BalancedRandomForest,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 2}",0.4567069515547565,0.6089871203209362,0.3552902946926285,0.6405246494798733,0.677978379535568
43,43.0,7.0,Cambodia,if_vio,BalancedRandomForest,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 5}",0.4672803220663623,0.6128676137906071,0.3617809505950794,0.6616915422885572,0.6800031516323665
44,44.0,8.0,Cambodia,if_vio,BalancedRandomForest,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 2}",0.4740661037242457,0.6287771845685157,0.372673734376687,0.652532790592492,0.6848754582286489
45,45.0,9.0,Cambodia,if_vio,BalancedRandomForest,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 5}",0.4792044896838046,0.6303260640062739,0.3759829649373458,0.66164631388512,0.6843491594265702
46,46.0,10.0,Cambodia,if_vio,BalancedRandomForest,"{'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 2}",0.4784283464394273,0.6307196935420626,0.3754751805806405,0.6602216191768432,0.6878880667807638
47,47.0,11.0,Cambodia,if_vio,BalancedRandomForest,"{'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 5}",0.4726460879780695,0.6361550990860556,0.3769779259503367,0.6345092718227046,0.6828045222532821
48,48.0,0.0,Cambodia,if_emo_vio,WeightedRandomForest,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 10}",0.398597339892569,0.6357690103459718,0.3084933070216363,0.5641558441558442,0.6633285068038823
49,49.0,1.0,Cambodia,if_emo_vio,WeightedRandomForest,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 10}",0.4218349409392719,0.6509154525985583,0.329249072094428,0.5913636363636363,0.6720709053663987
50,50.0,2.0,Cambodia,if_emo_vio,WeightedRandomForest,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 10}",0.3406972935900004,0.694724459324948,0.3183319619154347,0.3688636363636363,0.6521128005657708
51,51.0,3.0,Cambodia,if_emo_vio,WeightedRandomForest,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 10}",0.39017204418326,0.6966639519802129,0.3435385183514359,0.453961038961039,0.660745223537132
52,52.0,4.0,Cambodia,if_emo_vio,WeightedRandomForest,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 2, 'n_estimators': 10}",0.2999261065437305,0.7455524386933309,0.3661776895439138,0.2565909090909091,0.6439789049717779
53,53.0,5.0,Cambodia,if_emo_vio,WeightedRandomForest,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 5, 'n_estimators': 10}",0.345246269143166,0.7440005429372907,0.3812749728608752,0.3163961038961039,0.6667781433315745
54,54.0,6.0,Cambodia,if_emo_vio,WeightedRandomForest,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 10}",0.3803365486978495,0.6315114770910627,0.2982303267568029,0.5281818181818181,0.6555616223568169
55,55.0,7.0,Cambodia,if_emo_vio,WeightedRandomForest,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 10}",0.4067339142829728,0.6377220764335053,0.3134740592500594,0.5825324675324677,0.6680066858286814
56,56.0,8.0,Cambodia,if_emo_vio,WeightedRandomForest,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 10}",0.3848381240944532,0.7141269266733026,0.3578619896388669,0.4193506493506493,0.6531234204085432
57,57.0,9.0,Cambodia,if_emo_vio,WeightedRandomForest,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 10}",0.3800564953054073,0.6990000904895485,0.3414206365872025,0.4321428571428572,0.6534011292139066
