,country,target,model,params,f1,accuracy,precision,recall,roc_auc
7,Five_countries,if_sex_vio,BalancedRandomForest,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 5}",0.1314929988884407,0.6432273624936619,0.07340189248935743,0.6311355311355311,0.6838925916511953
8,Five_countries,if_sex_vio,BalancedRandomForest,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 2}",0.1255749804908552,0.6300229510821702,0.06987311610113348,0.62002442002442,0.6800447324788006
9,Five_countries,if_sex_vio,BalancedRandomForest,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 5}",0.13212327083407788,0.6383699838986593,0.0736424902147148,0.642136752136752,0.6836332433519817
10,Five_countries,if_sex_vio,BalancedRandomForest,"{'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 2}",0.12565529082207622,0.6223352503713983,0.06975200565032061,0.6331990231990232,0.6681486812949957
11,Five_countries,if_sex_vio,BalancedRandomForest,"{'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 5}",0.12467087302941326,0.6212029302660724,0.06918588713217254,0.6299877899877899,0.6738372960520103
0,Five_countries,if_vio,BalancedRandomForest,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 2}",0.42716893294490743,0.6034235586631439,0.3408373519471393,0.5722901293051682,0.6375945933879763
1,Five_countries,if_vio,BalancedRandomForest,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 5}",0.42873596958892835,0.6049325478369939,0.3423245309548614,0.5737513177384272,0.6383623110717487
2,Five_countries,if_vio,BalancedRandomForest,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 2}",0.4338684053557594,0.6138930773131221,0.3492992966689547,0.5726514231575015,0.6439233188826892
3,Five_countries,if_vio,BalancedRandomForest,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 5}",0.4345406792030776,0.616628615017836,0.351040594894227,0.5702761579417925,0.6466168561988479
4,Five_countries,if_vio,BalancedRandomForest,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 2}",0.43099472718832177,0.6045551226281658,0.342974328464268,0.57995302846315,0.6370935971417238
5,Five_countries,if_vio,BalancedRandomForest,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 5}",0.4324569279982252,0.6063475754583545,0.3445613912330231,0.5806802866331282,0.6381242062371854
6,Five_countries,if_vio,BalancedRandomForest,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 2}",0.42816998298269027,0.6038473308247266,0.3416151110748202,0.5739324650715916,0.6378961703303858
7,Five_countries,if_vio,BalancedRandomForest,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 5}",0.4284777091225904,0.6050732566518107,0.34233478458719824,0.5730170538704813,0.6381007146058724
8,Five_countries,if_vio,BalancedRandomForest,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 2}",0.43365011670806625,0.6137516568368426,0.3490739309422327,0.5724716102429976,0.6457375292702857
9,Five_countries,if_vio,BalancedRandomForest,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 5}",0.43318920375414444,0.6133272842109008,0.34871034200491063,0.5719241649875232,0.645827318007638
10,Five_countries,if_vio,BalancedRandomForest,"{'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 2}",0.4295753603667537,0.6021038714383569,0.3411021969931244,0.5801351766103097,0.635868552831916
11,Five_countries,if_vio,BalancedRandomForest,"{'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 5}",0.434335798800233,0.6062059548272887,0.3453530891192042,0.5852486689173861,0.6422859516381904
0,Five_countries,if_emo_vio,WeightedRandomForest,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 10}",0.3641604400655455,0.6130443098218178,0.2734915445552657,0.5454173636216478,0.6315130210407692
1,Five_countries,if_emo_vio,WeightedRandomForest,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 10}",0.3710499935728274,0.6089888402586888,0.27587670919692703,0.5684249716721523,0.6331639549378686
2,Five_countries,if_emo_vio,WeightedRandomForest,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 10}",0.35246793162825624,0.6579423865567149,0.28632890680296536,0.4592278638105002,0.627930415481622
